date,btc_close,mstr_close,btc_nav_total,btc_nav_per_share,mnav,premium_to_nav,premium_to_nav_pct,mnav_30d_ma,premium_30d_ma
2024-10-10,60274.5,183.339996,31836086782.5,129.414987,1.416683,0.416683,41.668288,1.144675,0.144675
2024-10-11,62445.089844,212.589996,32982559779.121094,134.075446,1.5856,0.5856,58.559977,1.162876,0.162876
2024-10-14,66046.125,201.669998,34884572533.125,141.807205,1.422142,0.422142,42.214211,1.175507,0.175507
2024-10-15,67041.109375,194.309998,35410108355.234375,143.94353,1.349904,0.349904,34.990435,1.187438,0.187438
2024-10-16,67612.71875,194.089996,35712023852.96875,145.170829,1.336977,0.336977,33.697657,1.198569,0.198569
2024-10-17,67399.835938,193.419998,35599582344.64844,144.713749,1.33657,0.33657,33.65696,1.210067,0.210067
2024-10-18,68418.789062,215.860001,36137778100.97656,146.901537,1.46942,0.46942,46.941962,1.226156,0.226156
2024-10-21,67367.851562,219.050003,35582688677.53906,144.645076,1.514397,0.514397,51.439654,1.242651,0.242651
2024-10-22,67361.40625,219.699997,35579284360.15625,144.631237,1.519036,0.519036,51.903559,1.258373,0.258373
2024-10-23,66432.195312,213.949997,35088489081.13281,142.636134,1.499971,0.499971,49.997052,1.273371,0.273371
2024-10-24,68161.054688,235.889999,36001646670.11719,146.348157,1.611841,0.611841,61.184127,1.292173,0.292173
2024-10-25,66642.414062,234.339996,35199523471.60156,143.087494,1.637739,0.637739,63.773919,1.310504,0.310504
2024-10-28,69907.757812,255.339996,36924229060.19531,150.098492,1.70115,0.70115,70.114964,1.331319,0.331319
2024-10-29,72720.492188,258.23999,38409873166.05469,156.137696,1.653925,0.653925,65.392469,1.352657,0.352657
2024-10-30,72339.539062,247.309998,38208659439.72656,155.319754,1.592264,0.592264,59.226365,1.372323,0.372323
2024-10-31,70215.1875,244.5,37086608809.68751,150.758572,1.621798,0.621798,62.179832,1.390702,0.390702
2024-11-01,69482.46875,229.710007,36699597756.71875,149.185357,1.539762,0.539762,53.976243,1.406458,0.406458
2024-11-04,67811.507812,222.990005,35817021253.94531,145.597647,1.53155,0.53155,53.154951,1.420746,0.420746
2024-11-05,69359.5625,227.800003,36634680519.06249,148.921466,1.529665,0.529665,52.966533,1.434582,0.434582
2024-11-06,75639.078125,257.809998,39951426479.453125,162.404173,1.587459,0.587459,58.74592,1.450141,0.450141
2024-11-07,75904.859375,270.809998,40091808148.984375,162.97483,1.661668,0.661668,66.166762,1.465996,0.465996
2024-11-08,76545.476562,270.420013,40430172538.16406,164.350295,1.645388,0.645388,64.538806,1.479259,0.479259
2024-11-11,88701.484375,340.0,46850793524.609375,190.45038,1.785242,0.785242,78.524191,1.497436,0.497436
2024-11-12,87955.8125,356.589996,46456940825.31249,188.849353,1.888225,0.888225,88.822461,1.51886,0.51886
2024-11-13,90584.164062,328.380005,47845196695.35156,194.492669,1.688393,0.688393,68.839271,1.532984,0.532984
2024-11-14,87250.429688,327.670013,46084368204.49219,187.33483,1.749114,0.749114,74.911421,1.549535,0.549535
2024-11-15,91066.007812,340.649994,48099699336.44531,195.527233,1.742213,0.742213,74.221252,1.563458,0.563458
2024-11-18,90542.640625,384.790009,47823264638.515625,194.403515,1.979337,0.979337,97.933669,1.583016,0.583016
2024-11-19,92343.789062,430.540009,48774604225.97656,198.270749,2.171475,1.171475,117.147517,1.607374,0.607374
2024-11-20,94339.492188,473.829987,49828704681.05469,202.55571,2.339258,1.339258,133.925761,1.636939,0.636939
2024-11-21,98504.726562,397.279999,52028718999.41406,211.498858,1.878403,0.878403,87.840257,1.652329,0.652329
2024-11-22,98997.664062,421.880005,52289081192.85156,212.557241,1.984783,0.984783,98.478303,1.665635,0.665635
2024-11-25,93102.296875,403.450012,49175236674.921875,199.899336,2.018266,1.018266,101.826589,1.685506,0.685506
2024-11-26,91985.320312,353.690002,48585266409.25781,197.501083,1.790826,0.790826,79.082564,1.700204,0.700204
2024-11-27,95962.53125,388.839996,50685969568.28125,206.040527,1.887202,0.887202,88.720153,1.718544,0.718544
2024-11-29,97461.523438,387.470001,51477714756.83594,209.259003,1.851629,0.851629,85.162882,1.735713,0.735713
2024-12-02,95865.304688,380.299988,50634615956.36719,205.831772,1.847625,0.847625,84.762529,1.74832,0.74832
2024-12-03,96002.164062,373.429993,50706903025.35156,206.125622,1.811662,0.811662,81.166217,1.758229,0.758229
2024-12-04,98768.53125,406.0,52168056678.28125,212.065271,1.914505,0.914505,91.45049,1.771411,0.771411
2024-12-05,96593.570312,386.399994,51019274935.50781,207.395427,1.863108,0.863108,86.310759,1.783516,0.783516
2024-12-06,99920.710938,395.01001,52776620706.52344,214.539109,1.841203,0.841203,84.120281,1.791161,0.791161
2024-12-09,97432.71875,365.339996,51462500552.96875,209.197157,1.746391,0.746391,74.639083,1.794783,0.794783
2024-12-10,96675.429688,377.320007,51062511829.49219,207.571186,1.817786,0.817786,81.778605,1.798671,0.798671
